city,country,country_clean,continent_name,median_salary,average_salary,rent_usd_proxy,utilities_usd_proxy,grocery_item_price_median,salary_pr,rent_pr,grocery_pr,utilities_pr,affordability_score,cluster_label
Bath,United Kingdom,United Kingdom,Europe,6300,7235.37,1898.815,114.39,2.255,0.728370845,0.909349909,0.576529568,0.81368984,48.08575393,High Salary–High Cost
Orem,United States,United States,Northern America,6966,7925,1757.83,107,2.66,0.880446005,0.888111888,0.685492122,0.75486631,54.33532903,High Salary–High Cost
Herzliyya,Israel,Israel,,,,1661.26,121.11,2.9,,0.872053872,0.73664825,0.852941176,,
Santiago de Compostela,Spain,Spain,Europe,2579.28,2875.26,517.65,100.2,1.605,0.47005988,0.428386428,0.385819521,0.691550802,51.61918887,Low Salary–Low Cost
Janakpur,Nepal,Nepal,Asia,551.13,608.2,43.25,28.83,0.97,0.122651249,0.001813002,0.088500102,0.030802139,54.16322467,High Cost–Low Salary
Half Way Tree,Jamaica,Jamaica,Caribbean,565.78,624.56,,51.97,2.065,0.126677679,,0.510742787,0.148449198,,
Sidi Slimane,Morocco,Morocco,Africa,1634.24,1896.89,146.39,28.33,1.04,0.352570721,0.096736597,0.114589728,0.027379679,62.78142816,High Cost–Low Salary
Sibolga,Indonesia,Indonesia,Asia,678.91,788.83,32.41,38.89,1.11,0.140925046,0.001295001,0.140679353,0.077005348,53.81526348,High Cost–Low Salary
Szekesfehervar,Hungary,Hungary,Europe,1227.46,1344.23,392.09,64.92,1.285,0.261717943,0.339031339,0.237569061,0.261925134,48.54910681,High Cost–Low Salary
Schwerin,Germany,Germany,Europe,3731.5,4048.63,,158.06,2.32,0.603964485,,0.595252711,0.960320856,,
Petapa,Guatemala,Guatemala,Central America,1222.65,1335.88,541.705,59.67,1.73,0.256659096,0.451178451,0.429097606,0.209411765,41.92448256,High Cost–Low Salary
Rio Gallegos,Argentina,Argentina,South America,110.28,129.42,,,0.9,0.009911212,,0.067219153,,,
Tataouine,Tunisia,Tunisia,Africa,1088.33,1239.75,116.175,38.21,0.455,0.237559364,0.058016058,0.002046245,0.073048128,60.02140121,High Cost–Low Salary
Ceske Budejovice,Czech Republic,Czech Republic,Europe,2310.03,2653.06,628.695,128.19,1.735,0.43660954,0.504014504,0.430734602,0.894545455,46.14269506,Low Salary–Low Cost
Watford,United Kingdom,United Kingdom,Europe,6300,7235.37,1875.75,82,2.65,0.728370845,0.907795908,0.682115817,0.464171123,47.76047257,High Salary–High Cost
Ben Arous,Tunisia,Tunisia,Africa,1088.33,1239.75,162.635,59.89,0.665,0.237559364,0.118104118,0.015551463,0.211657754,57.55604722,High Cost–Low Salary
Tartu,Estonia,Estonia,Europe,2579.28,2906.98,547.95,106.31,1.825,0.47005988,0.453768454,0.456619603,0.747272727,49.29002697,Low Salary–Low Cost
